Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Colt Keith,DET,3B,22,57,186,16,40,6,0,2,19,3,1,13,36,0,1,1,.215,.269,.280,.549
Jared Triolo,PIT,3B,26,55,186,15,40,4,0,3,19,4,1,21,53,0,4,1,.215,.292,.285,.577
Amed Rosario,TB,SS,28,49,185,15,55,10,3,2,22,5,4,4,31,0,1,0,.297,.311,.416,.727
Blake Perkins,MIL,OF,27,54,184,33,47,6,2,5,21,6,1,18,53,0,1,3,.255,.330,.391,.721
Luis Campusano,SD,C,25,57,184,23,43,11,0,4,27,0,0,13,25,0,0,0,.234,.284,.359,.643
Davis Schneider,TOR,2B,25,57,182,26,42,14,0,7,30,3,0,25,56,0,3,4,.231,.332,.423,.755
Nelson Velazquez,KC,OF,25,54,179,29,38,8,1,8,25,2,0,16,57,0,1,2,.212,.283,.402,.685
Michael Busch,CHC,3B,26,60,179,29,44,10,1,8,23,1,1,26,71,0,3,2,.246,.343,.447,.790
MJ Melendez,KC,OF,25,56,178,16,29,8,2,6,17,2,0,14,51,0,0,1,.163,.228,.331,.559
Mitch Garver,SEA,C,33,55,178,22,32,9,0,7,22,0,0,26,63,0,2,3,.180,.292,.348,.640
Cedric Mullins,BAL,OF,29,57,176,24,30,3,1,6,22,12,2,11,50,0,2,1,.170,.221,.301,.522
Harrison Bader,NYM,OF,30,56,176,21,47,9,0,3,23,8,4,11,40,0,3,3,.267,.316,.369,.685
Jackson Chourio,MIL,OF,20,55,176,22,38,5,0,6,21,7,2,10,50,1,1,0,.216,.257,.347,.604
Colton Cowser,BAL,OF,24,60,175,26,40,12,0,7,26,4,1,22,60,0,2,4,.229,.325,.417,.742
Zack Gelof,OAK,2B,24,47,175,18,32,6,1,5,13,6,1,13,64,1,1,1,.183,.242,.314,.556
Nicky Lopez,CWS,2B,29,52,172,17,42,4,1,0,4,2,5,13,28,4,0,2,.244,.305,.279,.584
Josh Rojas,SEA,3B,29,54,172,19,46,9,2,3,11,6,2,16,35,0,0,1,.267,.333,.395,.728
Jesus Sanchez,MIA,OF,26,57,172,15,42,6,0,4,23,6,1,10,39,1,1,3,.244,.296,.349,.645
Will Brennan,CLE,OF,26,56,171,20,40,5,1,5,20,3,1,13,25,0,1,2,.234,.294,.363,.657
Andy Pages,LAD,OF,23,46,170,26,44,7,0,6,19,1,2,9,54,0,3,4,.259,.306,.406,.712
Luis Rengifo,LAA,2B,27,48,170,24,53,9,1,4,18,15,5,12,27,1,0,1,.312,.361,.447,.808
Eddie Rosario,WSH,OF,32,53,170,23,32,9,0,7,23,8,1,13,44,1,1,0,.188,.245,.365,.610
Wilyer Abreu,BOS,OF,24,53,169,26,46,14,2,6,22,7,1,19,49,0,1,0,.272,.344,.485,.829
Edouard Julien,MIN,2B,25,58,169,24,35,6,0,7,17,6,0,24,66,0,0,1,.207,.309,.367,.676
Jo Adell,LAA,OF,25,56,168,26,32,5,1,11,27,9,6,12,56,0,2,3,.190,.254,.429,.683
Gavin Lux,LAD,2B,26,49,167,17,34,6,2,1,13,2,0,12,39,0,0,0,.204,.257,.281,.538
Johan Rojas,PHI,OF,23,52,167,20,39,3,1,2,19,14,2,7,29,4,0,2,.234,.273,.299,.572
Tyler Stephenson,CIN,C,27,54,167,27,44,10,0,6,22,1,0,15,35,0,2,3,.263,.332,.431,.763
Jake Burger,MIA,3B,28,43,166,17,37,5,0,4,21,0,1,8,42,0,2,0,.223,.256,.325,.581
Joey Ortiz,MIL,2B,25,57,165,25,48,12,2,5,23,3,3,25,28,1,2,2,.291,.387,.479,.866
Dylan Moore,SEA,OF,31,54,165,22,35,11,2,6,22,9,2,20,49,0,4,9,.212,.323,.412,.735
Ryan O'Hearn,BAL,1B,30,50,165,25,47,5,1,9,21,2,0,15,18,0,0,0,.285,.344,.491,.835
Tim Anderson,MIA,SS,30,48,165,11,31,3,0,0,6,3,2,7,51,0,0,0,.188,.221,.206,.427
Hunter Renfroe,KC,OF,32,54,165,21,32,10,0,5,24,1,0,16,33,0,0,1,.194,.269,.345,.614
Carlos Correa,MIN,SS,29,46,165,23,42,11,2,5,24,0,0,19,39,0,4,0,.255,.324,.436,.760
Mike Yastrzemski,SF,OF,33,56,164,19,35,5,2,6,24,1,0,16,53,1,0,1,.213,.287,.378,.665
Harold Ramirez,TB,DH,29,48,164,21,44,3,0,1,13,5,2,3,33,0,1,1,.268,.284,.305,.589
Brayan Rocchio,CLE,SS,23,55,164,27,35,9,0,1,11,7,4,23,36,1,2,2,.213,.314,.287,.601
Connor Wong,BOS,C,28,47,163,22,54,6,0,5,21,2,2,10,36,0,2,6,.331,.387,.460,.847
Ke'Bryan Hayes,PIT,3B,27,43,162,21,41,7,0,2,15,4,0,18,35,0,4,2,.253,.328,.333,.661
Jacob Young,WSH,OF,24,53,162,25,44,7,0,0,16,17,3,8,34,3,1,6,.272,.328,.315,.643
Seth Brown,OAK,OF,31,57,162,11,31,4,0,5,13,4,1,13,58,0,0,0,.191,.251,.309,.560
Brandon Marsh,PHI,OF,26,52,162,21,43,6,1,6,26,8,2,21,53,0,3,0,.265,.344,.426,.770
Jake Meyers,HOU,OF,27,57,162,18,42,5,2,6,25,4,2,13,35,1,0,3,.259,.326,.426,.752
Gabriel Moreno,ARI,C,24,52,161,19,38,8,1,2,20,0,1,18,29,0,1,1,.236,.315,.335,.650
Jose Miranda,MIN,3B,25,49,161,20,44,9,1,6,20,1,0,5,26,0,1,3,.273,.306,.453,.759
Oswaldo Cabrera,NYY,OF,25,50,161,19,38,5,0,4,21,2,1,10,31,0,2,0,.236,.277,.342,.619
Michael Conforto,SF,OF,31,43,161,21,42,7,1,8,22,0,1,13,37,0,0,0,.261,.316,.466,.782
Keibert Ruiz,WSH,C,25,45,160,15,32,4,0,3,13,1,1,4,25,0,1,4,.200,.237,.281,.518
Wilmer Flores,SF,1B,32,53,160,16,36,8,0,4,21,0,0,16,23,0,4,2,.225,.297,.350,.647
Jorge Polanco,SEA,2B,30,46,159,15,31,2,0,5,14,1,2,21,56,0,0,1,.195,.293,.302,.595
J.P. Crawford,SEA,SS,29,41,159,24,35,8,1,5,17,1,0,19,36,0,1,1,.220,.306,.377,.683
Rhys Hoskins,MIL,1B,31,45,159,20,37,6,0,10,28,2,0,20,38,0,1,4,.233,.332,.459,.791
Kyle Isbel,KC,OF,27,53,157,21,33,5,1,4,18,4,1,9,30,2,1,1,.210,.256,.331,.587
Nick Gordon,MIA,OF,28,56,156,17,36,5,0,6,21,5,2,6,36,0,1,0,.231,.258,.378,.636
Tyler O'Neill,BOS,OF,28,44,156,32,39,6,0,11,18,1,0,23,60,0,0,2,.250,.354,.500,.854
Jose Siri,TB,OF,28,52,155,21,30,7,0,6,22,7,6,14,64,2,2,5,.194,.278,.355,.633
Ivan Herrera,STL,C,24,48,154,20,40,5,0,3,16,2,0,13,36,0,2,2,.260,.322,.351,.673
Richie Palacios,TB,OF,27,53,154,26,39,4,0,4,12,9,0,20,44,0,1,2,.253,.345,.357,.702
Seiya Suzuki,CHC,OF,29,39,153,22,40,7,1,7,25,3,1,12,45,0,3,4,.261,.326,.458,.784
Byron Buxton,MIN,DH,30,46,152,18,35,8,2,3,16,2,2,7,51,0,1,4,.230,.280,.368,.648
Steven Kwan,CLE,OF,26,37,151,36,56,7,2,4,14,3,4,14,14,1,0,2,.371,.431,.523,.954
Jack Suwinski,PIT,OF,25,53,151,17,27,5,0,5,15,5,0,18,47,1,1,0,.179,.265,.311,.576
Brett Baty,NYM,3B,24,49,151,15,34,3,0,4,16,0,0,16,42,1,0,1,.225,.304,.325,.629
Wyatt Langford,TEX,OF,22,40,150,16,34,4,2,1,15,1,1,12,37,0,1,1,.227,.287,.300,.587
Alex Kirilloff,MIN,1B,26,54,150,20,32,8,3,5,19,0,0,14,44,0,3,1,.213,.280,.407,.687
Wenceel Perez,DET,2B,24,44,150,22,37,6,5,3,15,4,2,15,35,1,1,0,.247,.313,.413,.726
Max Kepler,MIN,OF,31,45,150,21,38,14,0,4,21,1,0,12,33,0,1,2,.253,.315,.427,.742
Kevin Newman,ARI,SS,30,48,150,20,38,9,1,2,14,2,0,7,24,2,0,0,.253,.287,.367,.654
Luke Raley,SEA,OF,29,53,149,20,39,5,1,6,16,5,0,6,47,0,0,5,.262,.313,.430,.743
Joc Pederson,ARI,OF,32,54,148,19,42,11,0,7,21,3,0,20,46,1,2,5,.284,.383,.500,.883
Jarred Kelenic,ATL,OF,24,49,147,16,38,9,1,3,12,0,1,9,48,0,1,0,.259,.299,.395,.694
Kerry Carpenter,DET,OF,26,50,145,21,41,10,4,8,29,0,1,11,38,0,2,3,.283,.342,.572,.914
Nathaniel Lowe,TEX,1B,28,43,145,18,38,5,0,2,19,1,0,24,37,0,3,1,.262,.364,.338,.702
Jung Hoo Lee,SF,OF,25,37,145,15,38,4,0,2,8,2,3,10,13,0,2,1,.262,.310,.331,.641
Jake Fraley,CIN,OF,29,49,145,24,42,6,1,1,9,10,4,13,30,0,2,1,.290,.348,.366,.714
Rowdy Tellez,PIT,1B,29,53,144,13,30,5,0,2,15,0,0,11,35,0,1,1,.208,.268,.285,.553
Evan Carter,TEX,OF,21,45,144,23,27,6,2,5,15,2,0,15,43,0,1,2,.188,.272,.361,.633
Korey Lee,CWS,C,25,48,143,13,35,4,0,5,16,4,2,7,42,0,0,0,.245,.280,.378,.658
Christian Yelich,MIL,OF,32,38,143,21,47,6,2,6,29,10,1,19,34,0,1,1,.329,.409,.524,.933
Jon Singleton,HOU,1B,32,47,142,20,30,3,0,5,14,0,0,22,44,0,1,0,.211,.315,.338,.653
Mauricio Dubon,HOU,OF,29,50,142,16,42,8,0,2,21,2,1,5,10,0,2,1,.296,.320,.394,.714
Lars Nootbaar,STL,OF,26,39,141,14,33,7,1,5,19,3,0,22,34,1,0,0,.234,.337,.404,.741
Mickey Moniak,LAA,OF,26,48,141,12,23,4,0,2,9,3,0,6,40,0,0,0,.163,.197,.234,.431
Jake Bauers,MIL,1B,28,45,140,19,29,9,1,5,25,7,1,15,54,0,0,4,.207,.302,.393,.695
J.D. Martinez,NYM,DH,36,37,139,13,38,8,1,5,16,0,0,10,44,0,0,1,.273,.327,.453,.780
Max Muncy,LAD,3B,33,40,139,24,31,8,0,9,28,0,0,21,50,0,5,2,.223,.323,.475,.798
Lane Thomas,WSH,OF,28,35,138,14,30,3,1,4,16,15,2,12,32,0,2,1,.217,.281,.341,.622
Jake McCarthy,ARI,OF,26,56,138,21,37,6,1,2,13,9,1,15,30,2,1,4,.268,.354,.370,.724
Luis Arraez,MIA,2B,27,33,137,22,41,8,1,0,5,0,0,8,11,1,0,2,.299,.347,.372,.719
Trea Turner,PHI,SS,30,33,137,27,47,10,0,2,9,10,1,9,28,0,0,2,.343,.392,.460,.852
Enrique Hernandez,LAD,SS,32,49,136,10,28,3,0,4,11,0,0,13,30,0,1,0,.206,.273,.316,.589
Nick Senzel,WSH,OF,28,43,136,18,33,9,0,6,16,1,3,22,36,0,0,1,.243,.352,.441,.793
Bo Naylor,CLE,C,24,44,135,14,23,3,0,3,12,1,1,13,53,0,1,1,.170,.247,.259,.506
Eloy Jimenez,CWS,DH,27,36,134,12,31,5,0,5,12,3,0,11,26,0,1,0,.231,.288,.381,.669
Travis d'Arnaud,ATL,C,35,46,134,18,33,13,0,5,21,0,0,12,36,0,2,3,.246,.318,.455,.773
Joey Gallo,WSH,OF,30,44,134,15,21,7,0,5,11,1,1,20,69,0,1,3,.157,.278,.321,.599
Luis Arraez,SD,2B,27,31,133,18,50,5,0,1,12,3,1,4,6,0,1,3,.376,.404,.436,.840
Tommy Pham,CWS,OF,36,33,132,19,37,7,0,3,12,3,1,9,31,0,0,1,.280,.331,.402,.733
Michael Taylor,PIT,OF,33,49,129,14,26,4,0,1,10,4,1,9,52,4,3,0,.202,.248,.256,.504
LaMonte Wade,SF,OF,30,52,129,22,43,6,0,2,17,1,1,33,35,0,2,2,.333,.470,.426,.896
Ezequiel Duran,TEX,SS,25,45,129,10,36,4,0,1,9,1,1,8,30,0,0,1,.279,.326,.333,.659
Max Schuemann,OAK,OF,26,46,128,20,33,5,0,3,11,4,0,11,34,1,1,2,.258,.324,.367,.691
Miguel Amaya,CHC,C,25,45,128,10,25,3,1,2,14,0,0,9,31,1,2,2,.195,.255,.281,.536
Adam Frazier,KC,2B,32,49,128,16,29,6,0,2,10,2,0,15,24,0,0,3,.227,.322,.320,.642
Edward Olivares,PIT,OF,28,40,127,19,30,4,0,5,20,1,0,12,30,0,3,1,.236,.301,.386,.687
Blaze Alexander,ARI,SS,24,46,127,17,36,7,0,3,19,2,1,12,37,0,0,0,.283,.345,.409,.754
Patrick Bailey,SF,C,25,40,127,15,35,7,0,4,20,2,0,14,30,1,4,0,.276,.338,.425,.763
Santiago Espinal,CIN,2B,29,45,125,11,24,3,0,3,17,6,0,11,19,4,4,0,.192,.250,.288,.538
Adam Duvall,ATL,OF,35,45,125,14,23,4,0,6,17,0,0,13,38,0,1,3,.184,.275,.360,.635
Tyler Nevin,OAK,3B,27,40,123,11,27,3,0,4,10,1,0,13,31,0,1,3,.220,.307,.341,.648
Gary Sanchez,MIL,C,31,42,122,16,26,5,0,7,21,0,0,9,34,0,1,4,.213,.287,.426,.713
Gio Urshela,DET,3B,32,38,122,10,32,5,0,2,14,0,0,5,18,0,1,1,.262,.295,.352,.647
