Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Anthony Volpe,NYY,SS,23,65,267,47,76,10,6,6,25,12,3,23,63,2,1,3,.285,.347,.434,.781
Jarren Duran,BOS,OF,27,65,266,39,70,17,9,5,27,14,3,25,67,1,2,3,.263,.331,.451,.782
Fernando Tatis,SD,OF,25,68,266,44,75,12,1,11,33,7,3,27,60,0,1,5,.282,.358,.459,.817
Maikel Garcia,KC,3B,24,63,265,43,69,13,3,5,36,15,0,20,46,2,2,0,.260,.310,.389,.699
Ezequiel Tovar,COL,SS,22,63,265,34,78,19,1,10,28,4,2,11,83,3,1,2,.294,.326,.487,.813
Jose Altuve,HOU,2B,34,64,264,37,76,12,0,9,22,9,3,18,53,0,0,3,.288,.340,.436,.776
Marcus Semien,TEX,2B,33,63,261,46,68,13,1,10,35,1,0,25,41,0,1,0,.261,.324,.433,.757
Bobby Witt,KC,SS,23,65,261,56,84,16,7,11,47,19,7,22,51,0,4,2,.322,.374,.563,.937
Julio Rodriguez,SEA,OF,23,66,259,29,69,5,0,5,24,14,4,17,78,0,0,2,.266,.317,.344,.661
William Contreras,MIL,C,26,64,259,49,80,17,1,8,46,4,0,27,57,0,2,2,.309,.376,.475,.851
Bryan Reynolds,PIT,OF,29,64,259,24,68,14,1,8,34,5,0,26,58,0,2,1,.263,.330,.417,.747
Mookie Betts,LAD,OF,31,65,257,48,80,14,3,10,35,9,1,45,29,0,0,0,.311,.414,.506,.920
Francisco Lindor,NYM,SS,30,63,255,37,61,15,0,10,31,9,3,20,47,0,2,6,.239,.307,.416,.723
Shohei Ohtani,LAD,DH,29,63,254,46,79,17,2,15,41,14,1,28,61,0,2,1,.311,.379,.571,.950
Ketel Marte,ARI,2B,30,63,252,41,71,14,2,13,35,1,0,22,55,0,5,3,.282,.340,.508,.848
Teoscar Hernandez,LAD,OF,31,66,252,38,66,13,1,15,47,4,2,23,80,0,0,3,.262,.331,.500,.831
Willy Adames,MIL,SS,28,64,250,33,60,17,0,9,43,8,2,29,64,0,1,1,.240,.320,.416,.736
Bryan De La Cruz,MIA,OF,27,63,250,30,62,10,0,11,28,1,1,19,68,0,2,1,.248,.301,.420,.721
Adley Rutschman,BAL,C,26,60,250,34,75,8,0,12,43,1,0,15,48,0,2,1,.300,.340,.476,.816
Jake Cronenworth,SD,2B,30,64,249,27,65,15,2,9,44,1,2,21,48,1,3,3,.261,.322,.446,.768
Yandy Diaz,TB,1B,32,63,248,24,61,12,1,4,29,0,0,25,37,0,2,2,.246,.318,.351,.669
Jeremy Pena,HOU,SS,26,64,248,35,75,10,1,5,23,9,4,9,43,1,2,4,.302,.335,.411,.746
Yordan Alvarez,HOU,OF,26,64,247,37,73,15,0,13,33,3,0,26,44,0,2,4,.296,.369,.514,.883
Matt Chapman,SF,3B,31,64,246,41,59,17,0,8,28,5,0,25,63,0,0,3,.240,.318,.407,.725
Jose Ramirez,CLE,3B,31,62,246,49,67,13,1,18,61,9,2,23,29,0,2,1,.272,.335,.553,.888
Anthony Rizzo,NYY,1B,34,64,245,29,55,7,0,7,25,0,0,15,46,0,1,6,.224,.285,.339,.624
Vladimir Guerrero,TOR,1B,25,64,245,30,72,12,0,7,30,2,0,36,47,0,0,1,.294,.387,.429,.816
Gunnar Henderson,BAL,SS,22,63,243,49,64,9,4,20,45,8,0,36,69,0,2,5,.263,.367,.580,.947
Pete Alonso,NYM,1B,29,63,243,36,59,16,0,14,31,1,0,24,55,0,1,4,.243,.320,.481,.801
Freddie Freeman,LAD,1B,34,66,242,40,71,19,2,8,40,3,1,38,49,0,4,7,.293,.399,.488,.887
Nick Castellanos,PHI,OF,32,64,242,33,52,7,1,9,29,1,2,19,57,0,1,2,.215,.277,.364,.641
Paul Goldschmidt,STL,1B,36,61,242,31,55,9,0,7,25,3,0,24,79,0,0,2,.227,.302,.351,.653
Josh Bell,MIA,1B,31,64,242,27,62,12,1,7,31,0,0,20,50,0,2,5,.256,.323,.401,.724
Michael Harris,ATL,OF,23,62,242,27,59,9,1,5,19,8,4,14,56,0,1,2,.244,.290,.351,.641
Lourdes Gurriel,ARI,OF,30,60,242,29,59,11,0,9,37,3,1,12,48,0,0,2,.244,.285,.401,.686
Jazz Chisholm,MIA,OF,26,63,241,28,60,11,3,8,30,12,3,22,63,0,0,2,.249,.317,.419,.736
Alec Bohm,PHI,3B,27,63,241,30,70,23,1,6,50,2,1,18,36,0,3,3,.290,.343,.469,.812
Corbin Carroll,ARI,OF,23,63,241,31,48,7,4,2,20,10,4,27,52,0,2,3,.199,.286,.286,.572
Elly De La Cruz,CIN,SS,22,65,240,41,57,11,1,11,29,34,6,29,87,2,0,4,.238,.330,.429,.759
Abraham Toro,OAK,3B,27,63,240,30,65,14,1,5,21,3,2,11,46,1,0,4,.271,.314,.400,.714
Gleyber Torres,NYY,2B,27,66,240,28,55,11,0,5,21,4,1,25,66,1,2,2,.229,.305,.338,.643
Bo Bichette,TOR,SS,26,61,239,21,58,13,1,4,27,4,1,14,42,0,1,3,.243,.292,.356,.648
Juan Soto,NYY,OF,25,64,239,49,76,11,3,17,53,4,2,46,48,0,4,1,.318,.424,.603,1.027
Alex Bregman,HOU,3B,30,61,238,25,56,11,1,9,29,2,0,22,39,0,2,1,.235,.300,.403,.703
Christian Walker,ARI,1B,33,65,237,39,60,12,0,12,39,2,2,32,69,0,5,3,.253,.343,.456,.799
Ryan McMahon,COL,3B,29,63,236,31,63,11,0,10,34,0,4,31,76,0,2,1,.267,.352,.441,.793
Thairo Estrada,SF,2B,28,61,236,34,58,12,1,8,32,1,2,8,47,0,2,3,.246,.277,.407,.684
CJ Abrams,WSH,SS,23,58,236,35,58,11,4,10,28,9,5,13,55,1,2,4,.246,.294,.453,.747
Aaron Judge,NYY,OF,32,66,235,49,70,20,1,23,57,5,0,55,72,0,2,2,.298,.432,.685,1.117
Nolan Arenado,STL,3B,33,61,234,23,58,10,0,6,30,0,1,20,43,0,4,2,.248,.308,.368,.676
Kyle Schwarber,PHI,OF,31,62,234,44,54,4,0,11,36,4,1,46,81,0,5,1,.231,.353,.389,.742
Taylor Ward,LAA,OF,30,63,234,30,59,11,0,11,34,2,3,29,60,0,4,0,.252,.330,.440,.770
Andres Gimenez,CLE,2B,25,58,232,35,61,10,1,4,33,9,3,11,38,1,3,10,.263,.320,.366,.686
JJ Bleday,OAK,OF,26,66,232,26,56,18,3,9,23,0,1,28,49,1,0,0,.241,.323,.461,.784
Adolis Garcia,TEX,OF,31,61,231,30,50,10,0,13,40,4,1,17,70,0,5,3,.216,.273,.429,.702
Riley Greene,DET,OF,23,63,231,42,55,12,1,11,24,3,0,34,73,0,1,1,.238,.337,.442,.779
Alex Verdugo,NYY,OF,28,63,230,29,59,13,1,8,34,1,1,21,34,0,6,1,.257,.314,.426,.740
Salvador Perez,KC,C,34,63,230,25,70,15,0,10,42,0,0,20,43,0,0,7,.304,.377,.500,.877
Manny Machado,SD,3B,31,61,230,27,57,11,0,6,32,5,1,21,53,0,0,0,.248,.311,.374,.685
Jurickson Profar,SD,OF,31,68,230,37,74,12,0,9,42,4,2,36,40,1,2,4,.322,.419,.491,.910
Matt Olson,ATL,1B,30,62,230,27,55,15,1,9,34,0,0,25,67,0,2,4,.239,.322,.430,.752
Marcell Ozuna,ATL,DH,33,62,229,39,73,14,0,18,55,0,0,28,57,0,2,1,.319,.392,.616,1.008
Orlando Arcia,ATL,SS,29,62,228,22,52,16,0,6,21,0,0,7,47,0,5,1,.228,.249,.377,.626
Ryan Mountcastle,BAL,1B,27,58,228,34,64,16,1,11,31,2,0,14,53,0,2,1,.281,.322,.504,.826
Ha-Seong Kim,SD,2B,28,67,228,35,51,8,3,9,32,13,2,37,43,1,1,1,.224,.333,.404,.737
Brendan Donovan,STL,2B,27,58,228,28,55,15,1,4,27,0,2,19,36,0,3,8,.241,.318,.368,.686
Spencer Steer,CIN,3B,26,63,227,30,54,15,1,7,40,11,1,31,51,0,1,4,.238,.338,.405,.743
Eugenio Suarez,ARI,3B,32,64,225,24,45,10,1,5,29,2,0,17,73,0,5,5,.200,.266,.320,.586
Josh Naylor,CLE,1B,26,60,223,35,50,9,0,16,47,3,2,24,42,0,3,4,.224,.307,.480,.787
Christopher Morel,CHC,OF,24,64,223,30,45,4,1,12,39,6,2,33,58,0,4,5,.202,.313,.390,.703
Jordan Westburg,BAL,2B,25,59,223,32,62,11,4,10,39,6,3,16,47,1,1,3,.278,.333,.498,.831
Ceddanne Rafaela,BOS,OF,23,64,222,29,48,9,2,7,37,8,5,8,65,2,3,1,.216,.244,.369,.613
Isaac Paredes,TB,3B,25,60,222,27,64,13,0,10,37,0,1,25,42,0,2,6,.288,.373,.482,.855
Andrew Vaughn,CWS,1B,26,59,221,20,48,12,0,6,22,1,0,16,58,0,1,3,.217,.278,.353,.631
Brandon Nimmo,NYM,OF,31,60,221,31,49,10,2,7,31,5,0,34,64,0,0,9,.222,.348,.380,.728
Anthony Santander,BAL,OF,29,59,220,33,50,13,1,13,36,0,0,20,44,0,1,6,.227,.308,.473,.781
Randy Arozarena,TB,OF,29,62,220,28,38,9,0,8,19,7,4,31,69,0,1,4,.173,.285,.323,.608
Brenton Doyle,COL,OF,26,62,219,39,59,11,2,5,17,17,3,24,65,3,1,1,.269,.343,.406,.749
Giancarlo Stanton,NYY,OF,34,58,219,27,50,9,0,15,36,0,0,17,73,0,0,0,.228,.284,.475,.759
Corey Seager,TEX,SS,30,57,218,29,59,5,0,13,30,0,0,30,43,0,1,1,.271,.360,.472,.832
Ian Happ,CHC,OF,29,60,218,31,48,13,1,6,27,3,1,30,68,0,1,4,.220,.324,.372,.696
